INICIO
LA EUAT-AC
SERVICIOS
GOBIERNO
TITULACIONES
PROFESORADO
ALUMNADO
NOTICIAS
LA EUAT-AC
SERVICIOS
GOBIERNO
TITULACIONES
PROFESORADO
ALUMNADO
NOTICIAS
Noticias 2013-2014
Noticias EUAT
Noticias 2024-2025
Histórico 2023-2024
Histórico 2022-2023
Histórico 2021-2022
Histórico 2020-2021
Histórico 2019-2020
Histórico 2018-2019
Histórico 2017-2018
Histórico 2016-2017
Histórico 2015-2016
Historico 2014-2015
Historico 2013-2014
Historico 2012-2013
Historico 2011-2012
Copyright © 2025 E. U. de Arquitectura Técnica de A Coruña. Todos los derechos reservados.
Universidade da Coruña Admin Login
Título | Fecha de publicación
MOVILIDAD INTERNACIONAL ESTUDIANTES: PUBLICACIÓN RESOLUCIÓN PROVISIONAL DE PLAZAS: PRIMERA CONVOCATORIA 14/15. | 06-03-14
NUEVA CONVOCATORIA PRÁCTICAS EXTERNAS CURRICULARES. MARZO 2014 | 04-03-14
MOBILIDADE INTERNACIONAL::ÚLTIMA REUNIÓN INFORMATIVA::EUAT | 12-02-14
MOVILIDAD INTERNACIONAL 14/15: PRIMERA CONVOCATORIA | 28-01-14
PRÁCTICAS EXTERNAS  DEL GRADO: CONVOCATORIA ENERO 2014 | 23-01-14
IMPORTANTE:: HORARIOS MATERIAS OPTATIVAS.  PLAZO EXTRAORDINARIO CAMBIOS SUBGRUPOS EN LAS OPTATIVAS | 22-01-14
ADJUDICACIÓN DE AULAS 2º CUATRIMESTRE | 21-01-14
NUEVO POSGRADO::BREEAM: EVALUACIÓN DE LA SOSTENIBILIDAD EN LA EDIFICACIÓN A TRAVÉS DEL CERTIFICADO BREEAM | 19-01-14
NUEVO POSGRADO::3DMAE: MODELIZACIÓN ACÚSTICA 3D EN LA EDIFICACIÓN: DEL PROYECTO A LA OBRA | 21-12-13
IMPORTANTE::ACUERDO JUNTA DE ESCUELA MODIFICACIÓN ORGANIZACIÓN DOCENTE DEL PRIMER CURSO, SEGUNDO CUATRIMESTRE . | 18-12-13
POSGRADO BIM EXPERT::ABIERTA PREINSCRIPCIÓN | 17-12-13
PLAN DE ESTUDIOS EXTINGUIDO::TRIBUNALES Y CALENDARIO DE EXÁMENES | 15-12-13
CLAUSURA JDPAE 2013: PROGRAMA | 02-12-13
A XEOMETRÍA EN PAPEL: EXPOSICIÓN Y ACTIVIDADES EN HOMENAJE A LA PROFESORA COVADONGA BLANCO | 20-11-13
JUEVES 21: EMISIÓN DEL PROGRAMA VOCES DE GALICIA DESDE LA EUAT | 20-11-13
TFG 2013/14::CALENDARIO DEFENSA TFG | 18-11-13
CONVOCATORIA ADELANTADA EVALUACIÓN GRADO CALENDARIO EXÁMENES | 18-11-13
TFG 2013/14::MODELO DOCUMENTO ACEPTACIÓN ESQUEMA TFG | 17-11-13
TFG 2013/14::LISTA DEFINITIVA ASIGNACIÓN DIRECTORES TFG | 17-11-13
PFC ARQUITECTURA TÉCNICA::TRIBUNALES NOVIEMBRE 2013 | 11-11-13
TFG 2013/14::LISTA DEFINITIVA OFERTA PÚBLICA LÍNEAS Y TFGS | 07-11-13
TFG 2013/14::ORDEN DE LLAMADA SELECCIÓN/ADJUDICACIÓN DIRECTOR/LÍNEA TFG | 07-11-13
TFG 2013/14::RELACIÓN ALUMNOS CON DIRECTOR ASIGNADO | 07-11-13
CONVOCATORIA PREMIOS EXTRAORDINARIOS CURSO 2012-2013 | 06-11-13
BIBLIOTECA EUAT::APERTURA NUEVAS INSTALACIONES | 31-10-13
TFG 2013/14::RELACIÓN PROVISIONAL ALUMNOS/AS MATRICULADOS | 29-10-13
TFG 2013/14::OFERTA PÚBLICA LÍNEAS Y TRABAJOS | 29-10-13
JORNADAS DPAE EUAT 2013 | 25-10-13
CALENDARIO TFG 2013/14 | 22-10-13
OPORTUNIDAD ADELANTADA DE EVALUACIÓN  EN EL GRADO | 22-10-13
PROGRAMA DOCTORADO EN DIRECCION INTEGRADA DE PROYECTOS: LISTADO DEFINITIVO DE RENOVACIONES | 18-10-13
PFC ARQUITECTURA TÉCNICA::PLAZO MATRÍCULA NOVIEMBRE 2013 | 14-10-13
MÁSTER DIP::LISTADO DEFINITIVO ALUMNOS ADMITIDOS OCTUBRE 2013 | 09-10-13
MÁSTER TES: RELACIÓN DEFINITIVA ADMITIDOS  EN 3º PLAZO | 09-10-13
MÁSTER DIP::LISTA PROVISIONAL DE PERSONAS ADMITIDAS TURNO SEPTIEMBRE | 04-10-13
MÁSTER TES::LISTA PROVISIONAL ADMITIDOS TERCERA CONVOCATORIA | 04-10-13
BIBLIOTECA EUAT::CIERRE POR TRASLADO | 03-10-13
PROGRAMA DOCTORADO EN DIRECCION INTEGRADA DE PROYECTOS: LISTADO PROVISIONAL RENOVACIONES | 03-10-13
TFG 2013/14::NOTA INFORMATIVA | 28-09-13
MÁSTER DIP::COMIENZO ACTIVIDADES CURSO 2013/14 | 24-09-13
3º PLAZO DE PREINSCRIPCIÓN Y MATRÍCULA  en el Máster Universitario en Tecnologías de Edificación Sostenible | 23-09-13
CONVENIO DCA - IVE::VERSIONES EDUCACIONALES BASES DE DATOS Y GENERADOR PLIEGOS | 23-09-13
BIBLIOTECA EUAT::AVISO MODIFICACIÓN DE HORARIO | 20-09-13
JORNADA DE PRESENTACIÓN MÁSTER UNIVERSITARIO EN TECNOLOGÍAS DE EDIFICACIÓN SOSTENIBLE | 17-09-13
MÁSTER DIP::LISTA DEFINITA ADMITIDOS PLAZO DE SEPTIEMBRE: CURSO 13/14 | 13-09-13
MÁSTER TES::LISTA DEFINITIVA ADMITIDOS EN PLAZO DE SEPTIEMBRE, CURSO 2013-2014 | 13-09-13
MÁSTER DIP::LISTA ALUMNOS ADMITIDOS EXCLUIDOS CURSO 2013/14 | 06-09-13
CALENDARIOS, EXÁMENES Y HORARIOS CURSO 2013-2014 | 06-09-13
MÁSTER TES::LISTA PROVISIONAL DE ADMITIDOS EN SEGUNDO PLAZO | 06-09-13
TFG 2012/13::PUBLICACIÓN TRIBUNALES  DEFENSAS  DE SEPTIEMBRE 2013 | 04-09-13
MÁSTER UNIVERSITARIO EN TECNOLOGÍAS DE EDIFICACIÓN SOSTENIBLE: HORARIOS 2013-2014. | 20-07-13
MÁSTER DIP::PUBLICACIÓN LISTA DEFINITIVA DE ALUMNOS ADMITIDOS Y EXCLUIDOS CURSO 2013/14 | 20-07-13
MÁSTER TES::PUBLICACIÓN LISTA DEFINITIVA DE ALUMNOS ADMITIDOS Y EXCLUIDOS CURSO 2013/14 | 20-07-13
MÁSTER DIP::PUBLICACIÓN LISTA PROVISIONAL DE ALUMNOS ADMITIDOS Y EXCLUIDOS CURSO 2013/14 | 14-07-13
MÁSTER TES::CORRECCIÓN DE ERRORES LISTADO PROVISIONAL ADMITIDOS CURSO 2013/14 | 14-07-13
MÁSTER TES::PUBLICACIÓN LISTA PROVISIONAL DE ALUMNOS ADMITIDOS Y EXCLUIDOS CURSO 2013/14 | 12-07-13
MOVILIDAD EUAT::PROGRAMA ERASMUS-PRÁCTICAS (SMP) CURSO 2013/14 | 19-06-13
BOLSAS UDC::CONVOCATORIA BOLSAS FORMACIÓN UDC 13/14 | 30-05-13
MOVILIDAD EUAT::LISTADO DEFINITIVO PLAZAS SEGUNDA CONVOCATORIA 13/14 | 24-05-13
RANKING EL MUNDO 50 CARRERAS 2013/14 | 12-05-13
